location,crowd_count,temperature,hour
Dashashwamedh Ghat (Prayagraj),5770,37,13
Shri Bade Hanuman Temple,2774,22,4
Kumbh Mela Ground (Main Venue),9733,22,15
Triveni Sangam (Confluence Zone),8294,11,18
Shri Bade Hanuman Temple,9592,30,9
Prayagraj Junction,500,19,0
Saraswati Ghat,7857,22,12
Alopankari Temple Area,4289,28,10
Alopankari Temple Area,3284,45,11
Dashashwamedh Ghat (Prayagraj),8448,16,16
Alopankari Temple Area,7307,36,15
Kumbh Mela Ground (Main Venue),6871,25,7
Saraswati Ghat,2119,37,20
Shri Bade Hanuman Temple,3716,44,4
Saraswati Ghat,6151,36,13
Shri Bade Hanuman Temple,6786,30,2
Dashashwamedh Ghat (Prayagraj),7611,14,12
Shri Bade Hanuman Temple,2679,42,2
Triveni Sangam (Confluence Zone),8076,42,5
Triveni Sangam (Confluence Zone),11481,30,18
Shri Bade Hanuman Temple,5319,45,10
Triveni Sangam (Confluence Zone),12447,43,9
Triveni Sangam (Confluence Zone),11514,18,16
Saraswati Ghat,6230,32,6
Shri Bade Hanuman Temple,4536,12,2
Triveni Sangam (Confluence Zone),13989,12,21
Kumbh Mela Ground (Main Venue),3553,32,0
Dashashwamedh Ghat (Prayagraj),1751,45,1
Shri Bade Hanuman Temple,3127,35,0
Shri Bade Hanuman Temple,5771,12,5
Saraswati Ghat,500,40,23
Dashashwamedh Ghat (Prayagraj),8902,24,12
Kumbh Mela Ground (Main Venue),8939,21,11
Dashashwamedh Ghat (Prayagraj),1979,13,0
Kumbh Mela Ground (Main Venue),8498,13,0
Saraswati Ghat,4511,22,15
Saraswati Ghat,3874,32,9
Dashashwamedh Ghat (Prayagraj),5020,36,7
Shri Bade Hanuman Temple,9045,34,11
Triveni Sangam (Confluence Zone),11740,29,18
Triveni Sangam (Confluence Zone),7054,11,0
Prayagraj Junction,538,43,17
Dashashwamedh Ghat (Prayagraj),1570,40,10
Shri Bade Hanuman Temple,7657,24,13
Prayagraj Junction,5462,25,11
Alopankari Temple Area,2653,15,4
Kumbh Mela Ground (Main Venue),6279,30,6
Shri Bade Hanuman Temple,6218,34,21
Dashashwamedh Ghat (Prayagraj),4819,12,8
Alopankari Temple Area,2772,32,5
Dashashwamedh Ghat (Prayagraj),2759,22,7
Shri Bade Hanuman Temple,7065,21,17
Shri Bade Hanuman Temple,7674,16,18
Saraswati Ghat,6818,23,7
Kumbh Mela Ground (Main Venue),11778,38,12
Triveni Sangam (Confluence Zone),8527,40,23
Alopankari Temple Area,5555,14,7
Dashashwamedh Ghat (Prayagraj),6797,31,9
Saraswati Ghat,2378,39,2
Saraswati Ghat,6531,41,12
Kumbh Mela Ground (Main Venue),12973,11,12
Triveni Sangam (Confluence Zone),13807,35,16
Dashashwamedh Ghat (Prayagraj),5858,35,9
Kumbh Mela Ground (Main Venue),6423,38,18
Saraswati Ghat,3476,32,5
Triveni Sangam (Confluence Zone),13027,13,8
Dashashwamedh Ghat (Prayagraj),8682,25,12
Shri Bade Hanuman Temple,6782,39,19
Triveni Sangam (Confluence Zone),8210,23,21
Kumbh Mela Ground (Main Venue),8580,19,11
Kumbh Mela Ground (Main Venue),2619,37,1
Prayagraj Junction,5188,38,13
Kumbh Mela Ground (Main Venue),9154,37,10
Dashashwamedh Ghat (Prayagraj),4861,37,11
Saraswati Ghat,2612,31,22
Prayagraj Junction,2679,43,5
Shri Bade Hanuman Temple,4980,44,7
Saraswati Ghat,4111,32,2
Dashashwamedh Ghat (Prayagraj),3334,18,11
Triveni Sangam (Confluence Zone),11554,39,21
Saraswati Ghat,3813,17,10
Alopankari Temple Area,3056,25,22
Dashashwamedh Ghat (Prayagraj),2436,26,1
Alopankari Temple Area,6350,21,8
Alopankari Temple Area,1893,44,8
Kumbh Mela Ground (Main Venue),3020,36,22
Shri Bade Hanuman Temple,8628,20,18
Saraswati Ghat,2857,12,3
Kumbh Mela Ground (Main Venue),9408,34,3
Shri Bade Hanuman Temple,6729,12,3
Alopankari Temple Area,4567,37,20
Kumbh Mela Ground (Main Venue),11852,29,15
Dashashwamedh Ghat (Prayagraj),2179,29,19
Saraswati Ghat,500,43,5
Alopankari Temple Area,6445,29,10
Dashashwamedh Ghat (Prayagraj),4348,27,10
Saraswati Ghat,6341,13,20
Prayagraj Junction,946,31,0
Alopankari Temple Area,4393,10,7
Shri Bade Hanuman Temple,8708,27,20
Triveni Sangam (Confluence Zone),7317,45,18
Kumbh Mela Ground (Main Venue),5489,27,22
Dashashwamedh Ghat (Prayagraj),5570,28,9
Prayagraj Junction,8338,26,13
Triveni Sangam (Confluence Zone),8913,37,13
Alopankari Temple Area,500,14,22
Shri Bade Hanuman Temple,3091,29,5
Kumbh Mela Ground (Main Venue),8230,36,11
Prayagraj Junction,668,33,5
Prayagraj Junction,1141,40,17
Alopankari Temple Area,766,45,5
Kumbh Mela Ground (Main Venue),8576,20,0
Dashashwamedh Ghat (Prayagraj),4993,31,16
Shri Bade Hanuman Temple,5400,32,6
Shri Bade Hanuman Temple,4180,17,5
Saraswati Ghat,3408,14,17
Saraswati Ghat,4208,25,13
Saraswati Ghat,2188,33,3
Prayagraj Junction,2369,39,3
Alopankari Temple Area,5542,12,14
Triveni Sangam (Confluence Zone),6539,32,3
Dashashwamedh Ghat (Prayagraj),2189,15,6
Saraswati Ghat,3639,14,10
Saraswati Ghat,1712,44,22
Triveni Sangam (Confluence Zone),12414,34,15
Shri Bade Hanuman Temple,6194,22,8
Shri Bade Hanuman Temple,7529,30,21
Prayagraj Junction,5419,33,11
Saraswati Ghat,5160,41,6
Prayagraj Junction,1109,42,0
Saraswati Ghat,4741,15,14
Saraswati Ghat,2559,36,1
Dashashwamedh Ghat (Prayagraj),6985,33,13
Shri Bade Hanuman Temple,7210,23,5
Prayagraj Junction,647,42,2
Saraswati Ghat,1738,45,0
Prayagraj Junction,5824,13,10
Alopankari Temple Area,3844,42,7
Kumbh Mela Ground (Main Venue),5546,45,3
Dashashwamedh Ghat (Prayagraj),3741,35,10
Triveni Sangam (Confluence Zone),13376,30,14
Dashashwamedh Ghat (Prayagraj),1381,23,3
Alopankari Temple Area,7243,40,13
Prayagraj Junction,1124,11,22
Alopankari Temple Area,3746,38,9
Prayagraj Junction,6091,21,12
Prayagraj Junction,4987,20,16
Dashashwamedh Ghat (Prayagraj),5460,40,17
Shri Bade Hanuman Temple,7011,42,18
Triveni Sangam (Confluence Zone),11299,12,0
Prayagraj Junction,3930,25,10
Dashashwamedh Ghat (Prayagraj),3407,26,5
Triveni Sangam (Confluence Zone),9305,36,18
Saraswati Ghat,5802,37,15
Alopankari Temple Area,6665,34,20
Alopankari Temple Area,3036,37,11
Shri Bade Hanuman Temple,3610,36,9
Dashashwamedh Ghat (Prayagraj),5055,20,6
Prayagraj Junction,3012,27,9
Shri Bade Hanuman Temple,3155,33,2
Saraswati Ghat,5050,27,13
Saraswati Ghat,4855,25,18
Shri Bade Hanuman Temple,7748,44,19
Shri Bade Hanuman Temple,9160,43,16
Alopankari Temple Area,500,44,23
Shri Bade Hanuman Temple,1959,45,4
Shri Bade Hanuman Temple,8668,37,14
Dashashwamedh Ghat (Prayagraj),6494,20,17
Alopankari Temple Area,500,27,22
Kumbh Mela Ground (Main Venue),9905,41,9
Prayagraj Junction,2627,15,10
Kumbh Mela Ground (Main Venue),11474,10,7
Shri Bade Hanuman Temple,5550,43,17
Triveni Sangam (Confluence Zone),10255,40,19
Triveni Sangam (Confluence Zone),10525,16,5
Alopankari Temple Area,4150,13,12
Prayagraj Junction,4860,40,19
Kumbh Mela Ground (Main Venue),9345,15,21
Prayagraj Junction,2244,27,4
Triveni Sangam (Confluence Zone),12885,19,18
Dashashwamedh Ghat (Prayagraj),4599,25,16
Saraswati Ghat,4074,26,1
Alopankari Temple Area,2435,17,22
Saraswati Ghat,6537,13,16
Dashashwamedh Ghat (Prayagraj),2790,44,2
Alopankari Temple Area,2019,40,22
Shri Bade Hanuman Temple,3469,37,0
Alopankari Temple Area,5697,37,13
Kumbh Mela Ground (Main Venue),5458,44,23
Shri Bade Hanuman Temple,4151,25,2
Kumbh Mela Ground (Main Venue),9436,34,15
Dashashwamedh Ghat (Prayagraj),3226,41,9
Shri Bade Hanuman Temple,6270,33,11
Shri Bade Hanuman Temple,7158,34,3
Dashashwamedh Ghat (Prayagraj),2861,20,4
Prayagraj Junction,6736,21,19
Kumbh Mela Ground (Main Venue),5231,36,8
Alopankari Temple Area,782,45,20
Kumbh Mela Ground (Main Venue),11225,13,19
Prayagraj Junction,2235,24,9
Kumbh Mela Ground (Main Venue),6036,27,4
Saraswati Ghat,6276,20,20
Kumbh Mela Ground (Main Venue),8551,38,19
Shri Bade Hanuman Temple,5277,44,9
Triveni Sangam (Confluence Zone),11104,30,20
Triveni Sangam (Confluence Zone),12952,29,20
Alopankari Temple Area,5853,27,8
Shri Bade Hanuman Temple,11037,27,15
Dashashwamedh Ghat (Prayagraj),3897,38,20
Kumbh Mela Ground (Main Venue),5736,31,0
Prayagraj Junction,7504,27,15
Kumbh Mela Ground (Main Venue),8679,25,23
Shri Bade Hanuman Temple,3727,12,4
Triveni Sangam (Confluence Zone),9577,38,4
Prayagraj Junction,4636,37,7
Saraswati Ghat,3800,44,21
Kumbh Mela Ground (Main Venue),8721,40,20
Saraswati Ghat,6356,22,8
Alopankari Temple Area,2620,45,18
Alopankari Temple Area,4783,38,19
Saraswati Ghat,6185,26,10
Alopankari Temple Area,500,32,23
Prayagraj Junction,2839,29,10
Alopankari Temple Area,2611,21,0
Saraswati Ghat,5772,17,12
Kumbh Mela Ground (Main Venue),8273,45,19
Dashashwamedh Ghat (Prayagraj),2990,42,15
Dashashwamedh Ghat (Prayagraj),2629,10,22
Prayagraj Junction,5281,37,18
Dashashwamedh Ghat (Prayagraj),3181,14,20
Triveni Sangam (Confluence Zone),9819,12,7
Dashashwamedh Ghat (Prayagraj),4714,41,21
Saraswati Ghat,1486,33,4
Dashashwamedh Ghat (Prayagraj),5639,27,18
Dashashwamedh Ghat (Prayagraj),3742,38,18
Kumbh Mela Ground (Main Venue),10230,43,6
Triveni Sangam (Confluence Zone),12913,35,14
Prayagraj Junction,2176,34,10
Kumbh Mela Ground (Main Venue),9492,25,22
Saraswati Ghat,3650,27,17
Triveni Sangam (Confluence Zone),6728,43,17
Alopankari Temple Area,1902,37,9
Alopankari Temple Area,5551,26,17
Shri Bade Hanuman Temple,5888,45,11
Triveni Sangam (Confluence Zone),10531,26,15
Triveni Sangam (Confluence Zone),9093,14,11
Triveni Sangam (Confluence Zone),8545,41,4
Triveni Sangam (Confluence Zone),11526,31,3
Kumbh Mela Ground (Main Venue),7704,36,1
Saraswati Ghat,500,41,1
Shri Bade Hanuman Temple,6866,11,2
Shri Bade Hanuman Temple,8009,37,15
Saraswati Ghat,3736,38,10
Triveni Sangam (Confluence Zone),13988,21,15
Alopankari Temple Area,4086,40,13
Shri Bade Hanuman Temple,3076,17,5
Dashashwamedh Ghat (Prayagraj),6928,16,20
Dashashwamedh Ghat (Prayagraj),1487,39,8
Triveni Sangam (Confluence Zone),10903,28,19
Shri Bade Hanuman Temple,7454,29,4
Kumbh Mela Ground (Main Venue),8232,16,19
Shri Bade Hanuman Temple,7172,10,16
Kumbh Mela Ground (Main Venue),7532,37,12
Shri Bade Hanuman Temple,7887,43,19
Prayagraj Junction,6780,10,21
Prayagraj Junction,7094,30,13
Dashashwamedh Ghat (Prayagraj),6052,25,6
Triveni Sangam (Confluence Zone),10632,28,2
Triveni Sangam (Confluence Zone),12202,34,2
Saraswati Ghat,6269,19,16
Triveni Sangam (Confluence Zone),9421,25,11
Saraswati Ghat,6017,15,8
Dashashwamedh Ghat (Prayagraj),6849,15,10
Alopankari Temple Area,3565,14,10
Kumbh Mela Ground (Main Venue),11307,24,11
Prayagraj Junction,2749,16,9
Triveni Sangam (Confluence Zone),11461,38,9
Alopankari Temple Area,1722,39,21
Dashashwamedh Ghat (Prayagraj),6596,14,18
Prayagraj Junction,5290,34,10
Kumbh Mela Ground (Main Venue),8428,33,21
Shri Bade Hanuman Temple,4422,31,0
Shri Bade Hanuman Temple,6915,42,13
Saraswati Ghat,500,42,1
Dashashwamedh Ghat (Prayagraj),4538,13,21
Alopankari Temple Area,2112,30,23
Alopankari Temple Area,6813,27,20
Kumbh Mela Ground (Main Venue),7220,22,9
Saraswati Ghat,1764,41,11
Kumbh Mela Ground (Main Venue),4750,45,21
Saraswati Ghat,6924,19,15
Saraswati Ghat,4927,19,21
Triveni Sangam (Confluence Zone),10770,13,23
Prayagraj Junction,6934,23,6
Prayagraj Junction,6606,19,11
Prayagraj Junction,2847,32,1
Alopankari Temple Area,500,37,23
Dashashwamedh Ghat (Prayagraj),5951,14,6
Kumbh Mela Ground (Main Venue),10011,16,21
Kumbh Mela Ground (Main Venue),4525,39,17
Triveni Sangam (Confluence Zone),12174,44,12
Saraswati Ghat,976,16,0
Triveni Sangam (Confluence Zone),11565,28,0
Saraswati Ghat,5656,32,10
Saraswati Ghat,3671,36,15
Alopankari Temple Area,3044,20,22
Alopankari Temple Area,4161,40,18
Shri Bade Hanuman Temple,9195,28,17
Prayagraj Junction,8628,21,15
Kumbh Mela Ground (Main Venue),13068,23,12
Shri Bade Hanuman Temple,7948,13,9
Triveni Sangam (Confluence Zone),13869,38,12
Alopankari Temple Area,3194,12,7
Shri Bade Hanuman Temple,6896,42,17
Saraswati Ghat,2010,37,7
Dashashwamedh Ghat (Prayagraj),6359,34,20
Shri Bade Hanuman Temple,3942,45,9
Triveni Sangam (Confluence Zone),14342,35,7
Triveni Sangam (Confluence Zone),11341,29,7
Triveni Sangam (Confluence Zone),5739,42,2
Dashashwamedh Ghat (Prayagraj),5605,21,17
Kumbh Mela Ground (Main Venue),7429,11,3
Shri Bade Hanuman Temple,3786,13,3
Triveni Sangam (Confluence Zone),10101,40,3
Dashashwamedh Ghat (Prayagraj),2782,35,22
Shri Bade Hanuman Temple,7735,13,9
Triveni Sangam (Confluence Zone),13129,34,8
Triveni Sangam (Confluence Zone),13667,29,10
Saraswati Ghat,500,40,22
Triveni Sangam (Confluence Zone),10458,38,6
Prayagraj Junction,2956,23,18
Alopankari Temple Area,3267,39,11
Dashashwamedh Ghat (Prayagraj),2668,15,22
Alopankari Temple Area,5540,22,7
Alopankari Temple Area,1552,43,20
Dashashwamedh Ghat (Prayagraj),5694,14,6
Kumbh Mela Ground (Main Venue),5725,38,4
Saraswati Ghat,2833,40,10
Saraswati Ghat,6283,25,6
Prayagraj Junction,6032,16,6
Alopankari Temple Area,6237,11,14
Saraswati Ghat,8263,11,15
Saraswati Ghat,6280,11,14
Kumbh Mela Ground (Main Venue),3983,32,2
Prayagraj Junction,3805,16,7
Shri Bade Hanuman Temple,11987,25,13
Prayagraj Junction,8426,24,13
Alopankari Temple Area,6936,12,13
Shri Bade Hanuman Temple,5022,11,22
Triveni Sangam (Confluence Zone),7940,35,22
Dashashwamedh Ghat (Prayagraj),8851,22,14
Prayagraj Junction,2176,33,0
Kumbh Mela Ground (Main Venue),3241,42,5
Triveni Sangam (Confluence Zone),11444,20,1
Shri Bade Hanuman Temple,10422,33,15
Alopankari Temple Area,1361,42,22
Shri Bade Hanuman Temple,6225,28,6
Prayagraj Junction,500,24,2
Alopankari Temple Area,1247,11,4
Saraswati Ghat,992,25,22
Triveni Sangam (Confluence Zone),13068,26,7
Alopankari Temple Area,4384,40,6
Triveni Sangam (Confluence Zone),8948,30,0
Triveni Sangam (Confluence Zone),8065,30,18
Shri Bade Hanuman Temple,4837,42,17
Kumbh Mela Ground (Main Venue),7474,37,0
Dashashwamedh Ghat (Prayagraj),563,41,19
Alopankari Temple Area,4081,33,11
Kumbh Mela Ground (Main Venue),10390,45,11
Prayagraj Junction,1066,13,22
Alopankari Temple Area,6164,33,14
Kumbh Mela Ground (Main Venue),5432,40,3
Saraswati Ghat,500,17,22
Triveni Sangam (Confluence Zone),12874,18,10
Prayagraj Junction,6618,17,19
Dashashwamedh Ghat (Prayagraj),500,20,2
Kumbh Mela Ground (Main Venue),7320,19,21
Prayagraj Junction,500,36,2
Triveni Sangam (Confluence Zone),5723,36,2
Triveni Sangam (Confluence Zone),13216,37,16
Triveni Sangam (Confluence Zone),11445,19,19
Triveni Sangam (Confluence Zone),7440,12,2
Shri Bade Hanuman Temple,1398,43,3
Dashashwamedh Ghat (Prayagraj),5759,31,6
Triveni Sangam (Confluence Zone),14629,10,21
Triveni Sangam (Confluence Zone),12015,20,20
Dashashwamedh Ghat (Prayagraj),962,19,22
Prayagraj Junction,1866,41,11
Alopankari Temple Area,7510,12,15
Shri Bade Hanuman Temple,4145,33,4
Dashashwamedh Ghat (Prayagraj),3880,26,0
Kumbh Mela Ground (Main Venue),7528,17,8
Dashashwamedh Ghat (Prayagraj),5750,31,14
Saraswati Ghat,992,32,4
Triveni Sangam (Confluence Zone),10839,33,22
Dashashwamedh Ghat (Prayagraj),6536,41,12
Dashashwamedh Ghat (Prayagraj),8337,13,13
Prayagraj Junction,2768,29,23
Alopankari Temple Area,2804,18,22
Shri Bade Hanuman Temple,7775,29,15
Dashashwamedh Ghat (Prayagraj),500,36,4
Dashashwamedh Ghat (Prayagraj),5113,30,18
Prayagraj Junction,500,26,1
Dashashwamedh Ghat (Prayagraj),2504,22,4
Alopankari Temple Area,1436,42,17
Dashashwamedh Ghat (Prayagraj),3040,36,12
Kumbh Mela Ground (Main Venue),9745,22,15
Prayagraj Junction,3417,20,2
Shri Bade Hanuman Temple,5522,37,6
Dashashwamedh Ghat (Prayagraj),3563,21,11
Saraswati Ghat,3482,24,7
Saraswati Ghat,5269,44,6
Dashashwamedh Ghat (Prayagraj),5391,45,15
Saraswati Ghat,4236,17,7
Kumbh Mela Ground (Main Venue),6220,25,6
Dashashwamedh Ghat (Prayagraj),5806,24,21
Triveni Sangam (Confluence Zone),7277,45,21
Dashashwamedh Ghat (Prayagraj),5293,26,12
Kumbh Mela Ground (Main Venue),8764,34,6
Alopankari Temple Area,825,29,2
Kumbh Mela Ground (Main Venue),8030,24,18
Prayagraj Junction,1267,36,17
Saraswati Ghat,2559,38,11
Kumbh Mela Ground (Main Venue),7868,43,14
Dashashwamedh Ghat (Prayagraj),1532,16,3
Prayagraj Junction,3763,10,20
Alopankari Temple Area,7980,14,12
Kumbh Mela Ground (Main Venue),8902,25,11
Dashashwamedh Ghat (Prayagraj),3308,14,0
Prayagraj Junction,2775,31,20
Alopankari Temple Area,3023,27,21
Saraswati Ghat,1026,40,21
Prayagraj Junction,4602,16,21
Kumbh Mela Ground (Main Venue),5329,36,17
Saraswati Ghat,1640,13,22
Triveni Sangam (Confluence Zone),12164,35,9
Shri Bade Hanuman Temple,9101,23,21
Triveni Sangam (Confluence Zone),8109,34,18
Shri Bade Hanuman Temple,8132,40,15
Kumbh Mela Ground (Main Venue),8461,10,14
Dashashwamedh Ghat (Prayagraj),5102,35,8
Shri Bade Hanuman Temple,6181,29,22
Prayagraj Junction,3266,23,2
Alopankari Temple Area,6327,11,16
Triveni Sangam (Confluence Zone),16318,35,15
Saraswati Ghat,3794,42,14
Triveni Sangam (Confluence Zone),9393,10,10
Prayagraj Junction,5099,35,11
Prayagraj Junction,4454,12,10
Kumbh Mela Ground (Main Venue),4762,42,2
Saraswati Ghat,3877,21,11
Dashashwamedh Ghat (Prayagraj),6824,34,12
Alopankari Temple Area,4324,30,11
Saraswati Ghat,2029,15,18
Shri Bade Hanuman Temple,4092,29,5
Shri Bade Hanuman Temple,5234,40,18
Prayagraj Junction,500,45,3
Kumbh Mela Ground (Main Venue),8837,20,2
Shri Bade Hanuman Temple,5857,41,14
Kumbh Mela Ground (Main Venue),11542,35,7
Dashashwamedh Ghat (Prayagraj),2605,43,7
Dashashwamedh Ghat (Prayagraj),1949,20,0
Dashashwamedh Ghat (Prayagraj),1959,41,6
Prayagraj Junction,2073,17,2
Alopankari Temple Area,7751,35,12
Triveni Sangam (Confluence Zone),9598,22,5
Saraswati Ghat,2910,25,11
Shri Bade Hanuman Temple,1327,43,23
Prayagraj Junction,500,35,2
Shri Bade Hanuman Temple,8057,14,6
Triveni Sangam (Confluence Zone),14778,31,9
Kumbh Mela Ground (Main Venue),6439,22,2
Shri Bade Hanuman Temple,4883,43,0
Triveni Sangam (Confluence Zone),15757,23,14
Alopankari Temple Area,4299,19,16
Triveni Sangam (Confluence Zone),7684,32,2
Shri Bade Hanuman Temple,7596,41,17
Saraswati Ghat,2822,36,22
Dashashwamedh Ghat (Prayagraj),3355,15,7
Kumbh Mela Ground (Main Venue),11255,19,11
Saraswati Ghat,2162,11,22
Prayagraj Junction,1277,33,2
Shri Bade Hanuman Temple,6318,10,18
Dashashwamedh Ghat (Prayagraj),3906,16,7
Kumbh Mela Ground (Main Venue),10627,13,6
Triveni Sangam (Confluence Zone),11770,13,2
Prayagraj Junction,5769,27,11
Alopankari Temple Area,2998,10,5
Shri Bade Hanuman Temple,6941,14,17
Dashashwamedh Ghat (Prayagraj),2647,25,17
Kumbh Mela Ground (Main Venue),5599,43,22
Alopankari Temple Area,5840,11,20
Saraswati Ghat,563,40,23
Alopankari Temple Area,7818,14,16
Alopankari Temple Area,6269,30,21
Shri Bade Hanuman Temple,4145,25,1
Alopankari Temple Area,5346,44,17
Triveni Sangam (Confluence Zone),15435,10,16
Kumbh Mela Ground (Main Venue),7830,37,9
Prayagraj Junction,6938,30,15
Kumbh Mela Ground (Main Venue),4329,31,3
Prayagraj Junction,5168,28,16
Shri Bade Hanuman Temple,8723,21,13
Saraswati Ghat,500,43,0
Dashashwamedh Ghat (Prayagraj),7906,28,16
Shri Bade Hanuman Temple,4793,39,10
Alopankari Temple Area,5697,10,6
Saraswati Ghat,3234,16,10
Kumbh Mela Ground (Main Venue),11711,12,9
Kumbh Mela Ground (Main Venue),7942,28,19
Alopankari Temple Area,3971,27,11
Alopankari Temple Area,500,41,0
Triveni Sangam (Confluence Zone),11360,10,5
Alopankari Temple Area,4732,45,21
Prayagraj Junction,1501,43,11
Saraswati Ghat,2456,38,5
Prayagraj Junction,2546,28,10
Alopankari Temple Area,6014,19,8
